effective_time,spl_id,spl_set_id,generic_name,brand_name,manufacturer_name,nda
20190614,70ef77ee-7b3e-486e-8359-3a55bdbc853d,a3768c7e-aa4c-44d3-bc53-43bb7346c0b0,ALOGLIPTIN,Nesina,"Takeda Pharmaceuticals America, Inc.",NDA022271
20190108,6c05df34-8396-44e6-9800-ab23fc60f713,0d59a04a-32e6-485b-b638-a1e6c09e9642,SODIUM CHLORIDE,Sodium Chloride,B. Braun Medical Inc.,NDA016733
20200805,8447b809-57a8-4c80-9cae-fbb70c44dfe6,9a1914a0-e195-4233-c1be-bc2075580eb8,ZINC CHLORIDE,ZINC,"Hospira, Inc.",NDA018959
20200214,84c2e4fb-dd49-4cbf-8c4d-5c759838da92,3a27d0ef-83a7-4e1c-9430-46a3326ee8d8,METYRAPONE,Metopirone,HRA Pharma Rare Diseases,NDA012911
20201109,71a77f42-636c-4cf8-950e-5b0d96186ad8,fbf56a50-741f-4d86-b995-e6f5fb454df4,BETAMETHASONE DIPROPIONATE,DIPROLENE AF,Merck Sharp & Dohme Corp.,NDA019555
20200915,84bb08ab-4d33-43ff-b906-f6b097abc635,a5c29d96-b0d2-4317-b348-d6f06782512c,COLCHICINE,Colchicine,Bryant Ranch Prepack,NDA204820
20201009,84d4d009-ae2f-4b64-8c54-4589f1f40ef0,76957c0d-0f98-4376-bb06-eee651adc09d,HYDROXYUREA,Siklos,Medunik,NDA208843
20200221,9f235abe-84cc-4c07-e053-2995a90aac0b,77bd3c0f-f4ab-7cfa-e053-2a91aa0a1b83,STERILE WATER,STERILE WATER,"HF Acquisition Co LLC, DBA HealthFirst",NDA018801
20191101,964bedb4-dd55-53e0-e053-2995a90abee6,bdc2d61a-b403-4263-85cb-d524cc7c6334,WATER,Eyewash,"Akorn, Inc.",NDA022305
20200407,a2bba76a-08cf-6902-e053-2995a90ab9c9,a2bba76a-08ce-6902-e053-2995a90ab9c9,0.9% SODIUM CHLORIDE,0.9% SODIUM CHLORIDE,"HF Acquisition Co LLC, DBA HealthFirst",NDA016366
20201026,9aabd0f9-b954-41c1-968a-37efe27b85a3,e22127b4-c9d9-458e-b196-4b000b89d781,OXYGEN,OXYGEN,Thumb Welding Supplies Inc,NDA205840
20201026,9c03940a-1c19-49be-b6a8-d53d7cc0f1e6,e6263359-3335-4e1c-969a-ff8a98efc2a8,CARBON DIOXIDE,CARBON DIOXIDE,"NLR Welding Supply, Inc.",NDA206025
20200527,a6a4eccb-c882-0e52-e053-2995a90a739b,29712b18-c82e-4397-800f-e2920f406f29,CELECOXIB,CELEBREX,"PD-Rx Pharmaceuticals, Inc.",NDA020998
20200626,a900982d-833d-3d51-e053-2a95a90afdba,feb14965-6da1-47cb-a85c-fd53435c37a9,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,Triamterene and Hydrochlorothiazide,"PD-Rx Pharmaceuticals, Inc.",NDA019129
20201216,b69a13a8-1165-4421-e053-2995a90a3d15,e96f30a0-6662-11de-8f80-0002a5d5c51b,VALRUBICIN,Valstar,Endo Pharmaceuticals Solutions Inc.,NDA020892
20200729,b9adf81a-c072-4152-9e6f-4cd4fc568478,300a6474-ebcd-4404-8040-48fdcfcc1635,NALOXEGOL OXALATE,MOVANTIK,RedHill Biopharma Ltd,NDA204760
20201016,d31be849-f753-4611-bd26-a308ac8b4044,cb03b707-093d-4d1a-aad4-5d8ea812dad8,PREGABALIN,Lyrica,Bryant Ranch Prepack,NDA021446
20200515,e51ad7b0-71e5-419f-9549-212533e92560,6f40a55a-4c90-4a94-8ba7-4ea9e64a3323,CLOBETASOL PROPIONATE,IMPEKLO,Mylan Specialty L.P.,NDA213691
20150821,e37cf92f-7055-4ac5-adfa-950642e4a40c,02c91fba-9c47-43ef-ac78-e82369798834,ESTRADIOL VALERATE AND ESTRADIOL VALERATE/DIENOGEST,Natazia,Bayer HealthCare Pharmaceuticals Inc.,NDA022252
20200403,eedb21d0-5ae8-4a64-bf8c-0b1c6edea3b5,0b0cbbec-8216-434f-892e-226c89d7239c,ARTICAINE HYDROCHLORIDE AND EPINEPHRINE,ARTICAINE,"NDC, Inc.",NDA020971
20180415,ef15b5a5-cb7f-4a76-ad0e-83ff1effc1bf,8279ca01-2cb6-49e9-b6fe-9ae152c56f16,ACYCLOVIR,Acyclovir,Mylan Pharmaceuticals Inc.,NDA019909
